0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,6
0.7,24
0.8,51
0.9,85
1,129
1.1,189
1.2,257
1.3,344
1.4,439
1.5,543
1.6,642
1.7,643
1.8,643
1.9,643
