0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,1
0.9,3
1,6
1.1,10
1.2,14
1.3,18
1.4,22
1.5,25
1.6,28
1.7,31
1.8,34
1.9,37
2,40
2.1,43
2.2,46
2.3,49
2.4,52
2.5,55
2.6,58
2.7,61
2.8,64
2.9,67
3,70
3.1,73
3.2,76
3.3,78
3.4,81
3.5,84
3.6,87
3.7,90
3.8,93
3.9,96
4,99
4.1,102
4.2,105
4.3,108
4.4,111
4.5,114
4.6,117
4.7,120
4.8,123
4.9,126
5,129
5.1,132
5.2,135
5.3,137
5.4,141
5.5,143
5.6,146
5.7,149
5.8,152
5.9,155
6,158
6.1,161
6.2,164
6.3,167
6.4,170
6.5,173
6.6,176
6.7,179
6.8,182
6.9,185
7,187
7.1,190
7.2,193
7.3,196
7.4,199
7.5,202
7.6,205
7.7,208
7.8,211
7.9,214
8,217
8.1,220
8.2,222
8.3,225
8.4,228
8.5,231
8.6,234
8.7,237
8.8,240
8.9,243
9,246
9.1,249
9.2,252
9.3,254
9.4,257
9.5,259
9.6,259
9.7,259
