Time (s),Number of Rotations,Current Rotary Speed (rad/s),Current Distance (m),Current Linear Speed (m/s)
0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.4,0,0,0,0
0.5,0,0,0,0
0.6,0,0,0,0
0.7,0,0,0,0
0.8,0.5,31.42,0.01,0.01
0.9,2.75,141.37,0.07,0.06
1,7.25,282.74,0.19,0.12
1.1,13.75,408.41,0.36,0.17
1.2,22.25,534.07,0.59,0.22
1.3,33.5,706.86,0.88,0.3
1.4,46.75,832.52,1.23,0.35
1.5,60.5,863.94,1.6,0.36
1.6,78,1099.56,2.06,0.46
1.7,97.25,1209.51,2.57,0.51
1.8,118,1303.76,3.11,0.55
1.9,140,1382.3,3.69,0.58
2,148.5,534.07,3.92,0.22
2.1,148.5,0,3.92,0
2.2,148.5,0,3.92,0
