Time (s),Number of Rotations,Current Rotary Speed (rad/s),Current Distance (m),Current Linear Speed (m/s)
0.00,0.00,0.00,0.00,0.00
0.10,0.00,0.00,0.00,0.00
0.20,0.00,0.00,0.00,0.00
0.30,0.00,0.00,0.00,0.00
0.40,0.00,0.00,0.00,0.00
0.50,0.00,0.00,0.00,0.00
0.60,0.00,0.00,0.00,0.00
0.70,0.00,0.00,0.00,0.00
0.80,0.00,0.00,0.00,0.00
0.90,0.00,0.00,0.00,0.00
1.00,0.25,15.71,0.01,0.01
1.10,2.25,125.66,0.06,0.05
1.20,7.25,314.16,0.19,0.13
1.30,14.50,455.53,0.38,0.19
1.40,25.25,675.44,0.67,0.28
1.50,39.25,879.65,1.04,0.37
1.60,56.50,1083.85,1.49,0.46
1.70,77.25,1303.76,2.04,0.55
1.80,101.75,1539.38,2.69,0.65
1.90,129.75,1759.29,3.42,0.74
2.00,159.75,1884.96,4.22,0.79
2.10,161.75,125.66,4.27,0.05
2.20,161.75,0.00,4.27,0.00
2.30,161.75,0.00,4.27,0.00
