Time (s),Number of Rotations,Current Rotary Speed (rad/s),Current Distance (m),Current Linear Speed (m/s)
0,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.4,0,0,0,0
0.5,0,0,0,0
0.6,0,0,0,0
0.7,0,0,0,0
0.8,1.25,78.54,0.03,0.03
0.9,5.25,251.33,0.14,0.11
1,12.25,439.82,0.32,0.18
1.1,22,612.61,0.58,0.26
1.2,35,816.81,0.92,0.34
1.3,50.25,958.19,1.33,0.4
1.4,69.75,1225.22,1.84,0.51
1.5,91.25,1350.88,2.41,0.57
1.6,116.25,1570.8,3.07,0.66
1.7,144,1743.58,3.8,0.73
1.8,165.25,1335.18,4.36,0.56
1.9,165.25,0,4.36,0
2,165.25,0,4.36,0
